Subject,Release,Acquisition,Gender,Age,PicVocab_AgeAdj,ProcSpeed_AgeAdj,AngAffect_Unadj,AngHostil_Unadj,AngAggr_Unadj,FearAffect_Unadj,FearSomat_Unadj,Sadness_Unadj,LifeSatisf_Unadj,MeanPurp_Unadj,PosAffect_Unadj,Friendship_Unadj,Loneliness_Unadj
116322,S500,Q06,F,31-35,64.76702,61.38,58.1,63.5,51.2,62.9,63,70.9,35.3,50,25.4,39.7,66.4
116524,S500,Q05,M,26-30,74.63,99.37,76.8,58.8,69.3,54.4,61.4,54.1,43.3,57.2,56.7,45,64.2
116726,S900,Q08,M,26-30,108.4707,108.74,41.5,40.5,52.2,48.7,57.5,43.6,67.8,62.6,55.7,66.5,44.9
117122,Q1,Q01,F,26-30,109.06,112.06,47.5,47.7,56.8,35.9,40.1,42.3,57.1,40.7,41.6,45.3,44.9
117324,Q3,Q03,F,22-25,87.46,93.56,28.6,36.6,43.4,52.9,57.5,34.2,57.7,71.6,71.6,60.8,37.6
117930,S900,Q10,F,31-35,118.2387,91.83,43.8,50.7,52.2,41.5,49.8,38.5,62.8,50,50.2,58.9,47.4
118023,S900,Q07,F,26-30,109.1893,112.44,48.1,44.9,49.8,46.7,46.3,39,62.9,48.1,52.7,38.1,53.5
118124,S900,Q07,F,31-35,90.69142,84.87,28.6,48.8,43.4,43.3,40.1,34.2,42.6,51.9,50.6,20.8,52
118225,S900,Q08,M,26-30,123.3974,79.15,39.7,49.8,52.2,43.3,40.1,34.2,57.7,42.9,48.4,40.7,50.1
118528,S500,Q04,F,26-30,115.13,103.49,61.5,52.5,43.4,55.5,63.2,50.8,70,65.6,52.7,58.9,62.1
118730,Q2,Q03,M,22-25,108.4,92.42,54.3,54.8,65.8,51.2,56.5,46.1,57.1,44,52.7,52,50.7
118932,Q1,Q02,M,26-30,103.89,112.36,45.1,57.3,68.2,51.9,58.8,46.1,47.7,44.5,47.2,32.2,62.2
119126,S900,Q11,F,22-25,94.15465,125.28,54.3,58.9,56.6,61.6,49.8,53.3,52,51.9,44.4,47.7,49.6
119732,S900,Q10,F,31-35,113.442,73.5,53,46.5,43.4,58.3,62.4,48.1,62.5,53.6,48.4,43.5,62.1
119833,Q1,Q01,F,26-30,105.52,95.8,57.1,60.1,56,37.6,46.4,34.2,52.6,42.4,50.2,51.7,56.2
120111,Q3,Q03,F,26-30,115.7,103.61,31.6,48.9,43.4,41.8,44.8,43.3,54.4,47.8,50.2,66.5,43.1
120212,Q1,Q01,F,31-35,120.98,109.13,51.8,49.1,43.4,59.8,57.5,48.2,48.8,50,50.2,46.6,53.7
120515,S500,Q04,F,26-30,94.59,80.41,47.5,40.5,43.4,51.2,58.3,48.1,59.7,57.6,50.2,48.7,53.7
120717,S900,Q9,F,31-35,115.461,120.69,47.5,46,55.8,53.7,59.6,51.2,44.8,49.1,52.7,41.4,60.4
121315,S500,Q05,M,26-30,73.09,77.65,53.7,61,64,46.7,60.1,49.9,38.5,44.1,33.2,31,44.9
121416,S900,Q08,M,26-30,116.6002,61.27,40.6,36.6,69.4,49.3,44.8,45.8,41.3,48.7,42,43.9,59.1
121618,S500,Q05,M,31-35,130.62,105.38,56.9,56.9,59.1,57.6,60.1,51.7,38.3,40.8,43.8,42.5,60.2
121719,S500,Q06,F,31-35,92.40833,119.1,51.6,53.3,52.2,53.1,50.4,57.5,43.1,40.5,48.4,57.1,63.8
121820,S900,Q07,F,31-35,123.6712,128.38,52,52.9,49.8,53.7,53.7,43.3,53.1,48.1,44.4,46.9,53.7
121921,S900,Q07,M,31-35,114.8815,69.44,55.1,53.7,49.8,51.9,61.1,42.6,53.1,52.2,50.2,34.9,51
122317,Q3,Q04,M,31-35,97.61,81.98,50.9,53.5,55.8,51.4,50.5,45,62.8,46.5,50.2,55.9,53.7
122519,S900,Q07,F,31-35,117.5306,104.04,50.7,40.5,43.4,51.9,54.7,48.7,57.1,44.9,62.8,43.5,57.8
122620,S500,Q05,M,26-30,103.32,95.32,39.6,36.6,50.8,40,51.8,34.2,55,50,58.8,47.3,47.4
122822,S900,Q07,F,31-35,105.2995,113.48,50.3,53,43.4,54.4,44.8,53.3,71.4,62.7,57.1,51.8,55.2
123117,Q2,Q03,M,26-30,101.79,102.81,47.8,54.4,54.3,46.9,63.2,45.7,56.1,58.7,50.2,38.9,57.8
123420,S500,Q06,F,26-30,111.153,137.14,45.6,52.4,53.7,70.6,79.4,63.6,39.7,32.8,36.2,66.5,54.5
123521,S900,Q10,M,22-25,110.8122,125.28,61.1,43.4,43.4,65.7,54.4,52.5,55,51.7,42,39.7,50.7
123824,S900,Q11,M,22-25,68.6812,90.9,28.6,36.6,43.4,45.5,40.1,34.2,64.5,62.3,58.7,54.5,37.6
123925,S500,Q05,F,26-30,88.71,122.06,39.7,54.5,43.4,49.9,46.4,44.8,48.8,45.2,50.2,51.9,53.7
124220,S500,Q05,M,31-35,90.14,100.98,44.5,40.8,52.2,43.9,55.3,44.7,52.6,51.7,45.3,53.8,37.6
124321,S900,Q06,M,26-30,106.1612,75.77,61.5,66,56.8,59.7,60.1,54.8,34.2,38.7,38.4,47.4,65.7
124422,Q2,Q03,F,31-35,92.16,109.47,63.4,56.9,62,63.3,56.9,62.2,48.3,44.3,42,44.6,63.8
124624,S900,Q9,F,26-30,115.3188,123.33,44.2,40.8,59.1,32.9,51.7,39.6,67.7,71.6,50.2,45.6,46.3
124826,S500,Q06,F,31-35,123.8281,120.69,47.5,36.6,49.8,51.2,44.8,55,64.5,60.6,50.2,44.3,53.7
125525,Q1,Q01,F,31-35,87.24,86.78,53.1,46.8,43.4,46.3,51.3,45.9,40.1,59.8,41.7,47.8,54.1
126325,Q3,Q03,F,26-30,109.88,93.92,28.6,45,43.4,36.5,56.9,34.2,57.1,50,52.7,46.6,44.9
126628,S500,Q04,M,31-35,89.87,81.75,47.8,45.5,43.4,48.8,60.1,42.4,74.6,71.6,61.2,50.3,37.6
126931,Q3,Q04,F,31-35,98.52,109.17,47.1,56.3,43.4,48.5,40.1,46.3,60.1,63.7,48.1,47.2,53.8
127327,S900,Q08,M,22-25,115.1126,129.22,51.3,53,58.8,54.4,57.9,49.9,49.7,55.9,50.2,52.4,53.7
127630,S500,Q06,F,22-25,107.2655,144.16,50.6,49.6,55.8,58.3,50.5,45.6,55,50,50.2,56.4,49.6
127933,Q3,Q03,M,31-35,107.26,114.24,59,36.6,58.2,54.4,51,48.2,55,40.9,48.4,58.9,43.4
128026,S900,Q10,F,26-30,104.1817,96.97,43.1,47.2,55,52.9,57.3,46.1,64.5,71.6,52.1,49.7,47.6
128127,S500,Q05,F,26-30,113.75,114.01,50.8,51.5,43.4,46.7,52.9,46.1,57.1,53.6,48.4,50.7,48.6
128329,S500,Q06,F,31-35,116.134,98.75,45.8,59.9,53.2,54.1,59.6,45.7,57.1,53.9,52.7,40.2,43.6
128632,Q1,Q02,F,31-35,103.13,98.3,38.7,48,43.4,42.7,40.1,34.2,48,46.8,48.4,47.7,37.6
128935,S900,Q9,M,31-35,128.957,95.29,45.6,51.5,43.4,49.3,54.7,45.6,57.1,59.8,52.1,46.3,52
129028,Q2,Q03,M,26-30,114.71,96.15,46.8,47.2,62.4,42.5,58.5,41.8,64.5,50.3,46.5,62,44.9
129129,S900,Q07,F,31-35,100.2839,113.48,59,59.6,43.4,59.8,64.6,53.3,38.3,44.7,40.3,50.4,59.7
129331,S900,Q9,F,26-30,133.8811,117.3,50.3,47.1,55,53.6,54.4,49.9,57.1,50,57.1,41.8,55.3
129432,Q3,Q04,M,22-25,116.69,104.72,54.1,52,54.2,55.2,44.8,57.2,47.8,38.7,47.7,38.1,53.8
129533,Q3,Q04,F,31-35,99.43,106.57,49.8,49.2,53.1,48.5,60.1,45.6,55,57.6,50.2,46.3,49.2
129634,S900,Q11,M,22-25,103.6362,83.82,46.8,45.8,51.6,46,65.8,34.2,64.5,54.7,58.7,52.8,49.6
129937,S900,Q11,F,26-30,96.88277,67.13,40.2,45.2,43.4,51.7,51.5,42,55,50,48.4,50,37.6
130013,Q1,Q01,M,26-30,114.82,110.92,47.5,53.5,62,50.7,44.8,38.5,55.6,55.9,57.1,66.5,37.6
130316,Q3,Q03,F,26-30,132.32,116.24,51.4,58.1,52.2,53.3,46.5,43.6,55.2,46.5,42.9,41,55.2
130417,S900,Q07,M,26-30,124.2263,75.77,44.8,53.8,43.4,51.2,52.2,48.1,55,47.9,54.1,53.8,52.6
130619,S900,Q10,F,26-30,128.1598,144.06,48.4,50.5,43.4,55.5,61.5,48.2,54.4,45.8,48.1,29.1,61.9
130821,S900,Q10,F,22-25,76.06436,108.74,45.9,46.4,53.1,50.4,40.1,51,48,48.3,48.8,53.4,37.6
130922,Q3,Q03,F,31-35,129,114.29,48.6,48.9,43.4,53.7,55.9,48.2,60.3,54.3,50.1,60.9,52.1
131217,S500,Q06,F,26-30,104.7501,113.48,49.8,48,43.4,55.8,44.8,49.9,55,51.7,44.4,49.8,57.8
131419,S900,Q9,F,26-30,117.1475,90.9,42.7,43.6,43.4,52.9,54.8,45.6,51.8,51.6,50.2,52.4,52
131621,Q1,Q02,F,26-30,118.4,91.51,55.6,58.7,59,53.7,53,58.8,42.1,38.7,51,37.6,61
131722,S500,Q06,F,26-30,122.6961,124.42,62.7,60.1,56.8,71.4,73.1,62.4,43.8,44.9,35,36.5,71.7
131823,S900,Q11,M,26-30,131.6936,131.89,50.9,53.9,43.4,56.5,55.3,49.9,62.5,42.1,42,47.1,54.2
131924,Q3,Q03,M,22-25,119.69,104.88,28.6,41.4,52.2,43.6,60.5,42.3,52.6,71.6,60.1,44.6,51.2
132017,S900,Q08,F,22-25,127.5357,118.18,44.6,59.2,63.6,37.2,40.1,51.2,49.2,59.7,48.4,47.1,58.1
132118,S500,Q04,F,26-30,121.88,75.67,48.2,53,43.4,55.8,57.5,49.9,54.4,50,52.7,49.8,53.7
132320,S900,Q05,F,26-30,75.84,93.5,59,72.7,62.3,66,64.4,56.1,47.2,43.3,54.2,48.9,47.6
133019,S500,Q06,F,26-30,104.6,97.99,43,36.6,43.4,43.1,44.8,45.8,57.9,48.5,50.1,54.9,49.6
133221,S900,Q07,M,26-30,125.0532,97.87,54.3,53,51.2,51.2,47.1,55,60.1,52.2,51.8,58.9,53.7
133625,Q3,Q03,M,26-30,104.9,88.95,42.8,53.6,61,49,57.4,44.8,60.1,53.9,42.1,55,49.6
133726,S900,Q11,F,31-35,109.4498,96.97,36.3,54.9,52,32.9,40.1,41.9,57.3,60.1,50.2,54.7,37.6
133827,Q2,Q02,M,22-25,107.73,92.67,42.6,36.6,52.4,45.9,40.1,43,48.6,49.7,50.2,56.8,37.6
133928,Q2,Q03,M,26-30,92.31,98.46,44.8,51.5,58,44.3,46.4,49.9,45.9,60.1,40.3,42.4,56.2
134021,S900,Q10,F,31-35,88.73827,80.03,31.6,36.6,43.4,49,57.3,39.6,69.1,57.7,55.7,55.6,37.6
134223,S900,Q11,F,26-30,111.6,119.1,52.8,50.8,43.4,51.2,58.3,48.1,74.6,60.8,50.2,43.3,47.4
134324,Q2,Q03,M,26-30,91.42,79.41,43,36.6,76.2,46,61.7,41,64.5,48.4,65.2,66.5,47.4
134425,S900,Q07,F,26-30,117.594,112.44,37.2,42.3,43.4,39.4,44.8,34.2,55,55.9,58.7,55.7,52.6
134728,S900,Q08,M,26-30,100.6612,100.43,42.4,45.2,55,32.9,40.1,41.2,55,55.8,44.4,50.4,47.4
134829,S900,Q11,F,31-35,87.02403,109.72,65.5,61.7,68.6,55.1,47,56.2,66.7,60.9,54.1,42.5,44.9
135225,S500,Q06,F,22-25,105.87,109.18,56.9,50.6,52.5,58,56.9,49.4,57.1,60.5,52.4,66.5,47.4
